"Statistic Label","Year","Hazardousness","Waste Category","Waste Management Operation","UNIT","VALUE"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Sludges and liquid wastes from waste treatment[W033]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","All Waste treatment[TRT]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Disposal - incineration (D10)[DSP_I]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Recovery - energy recovery (R1)[RCV_E]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Health care and biological wastes[W05]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","All Waste treatment[TRT]","Tonnes","308012"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","308012"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Recyclable wastes (subtotal, W06+W07 except W077)[W06_07A]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, ferrous[W061]","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","All Waste treatment[TRT]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Disposal - incineration (D10)[DSP_I]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Recovery - energy recovery (R1)[RCV_E]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Metal wastes, non-ferrous[W062]","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes",""
